MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,MP_Mode,Length,Width,Draft,Cargo,TransceiverClass,VesselID
565516000,2025-08-11T16:33:41,18.24442432332469,-64.97847653854059,0,0,2.246827464804267,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:42,18.256832107335036,-64.98112146515182,0,0,-1.9650056546330275,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:42,18.232476871717864,-64.98208624481623,0,0,2.34921732401693,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:42,18.25847712264411,-64.97730033378242,0,0,-1.8459059653347538,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:42,18.244424312210505,-64.97847646318118,0,0,2.2467022302304134,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:43,18.256824678394924,-64.98112481240884,0,0,-1.9595924747097888,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:43,18.232485679472383,-64.9820872780408,0,0,2.448068975154699,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:43,18.25846904861343,-64.97729616839236,0,0,-2.092055051167846,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:43,18.244424364722736,-64.97847641615164,0,0,2.246506764386249,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:44,18.25681343918346,-64.9811298253703,0,0,-1.9547459067821191,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:44,18.23249789611764,-64.982091216745,0,0,2.4423790409606276,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:44,18.258455951508328,-64.9772924490619,0,0,-2.185758267217819,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:44,18.244424374696226,-64.97847654061371,0,0,2.2466903105090004,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:45,18.256805810735315,-64.98113335478477,0,0,-1.9479093899716624,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:45,18.232505211032883,-64.98209524147022,0,0,2.350309087044882,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:45,18.258447116624314,-64.97729201494637,0,0,-2.2131402285089106,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:45,18.244424317729504,-64.97847665295723,0,0,2.2469663261073216,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:46,18.256794626822447,-64.98113827071538,0,0,-1.944403053186531,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:46,18.232515262365922,-64.9821025811254,0,0,2.254299402650457,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:46,18.258434509783317,-64.97729388258314,0,0,-2.1666001670477386,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:46,18.244424314372534,-64.97847666914632,0,0,2.2469143997655907,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:47,18.256787158662394,-64.9811415442734,0,0,-1.9415908314754604,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:47,18.23252168964989,-64.98210785451471,0,0,2.0984964157278116,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:47,18.258426756968795,-64.97729616205025,0,0,-2.0332499056458953,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:47,18.244424380932735,-64.97847665081954,0,0,2.2467402402309684,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:48,18.256775792121793,-64.98114650164992,0,0,-1.9412395080711689,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:48,18.232531308054682,-64.98211601985437,0,0,2.0081113088515585,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:48,18.258415328462338,-64.97730092935143,0,0,-1.9261105943196632,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:48,18.244424380585322,-64.97847672509275,0,0,2.246810279650837,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:50,18.256768246315346,-64.9811496347969,0,0,-1.9421963595198373,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:50,18.232537927983138,-64.98212131383612,0,0,1.9181881935018779,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:50,18.25840768362061,-64.97730447334928,0,0,-1.777454060888114,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:50,18.244424306734015,-64.97847676221258,0,0,2.2469179334513014,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:51,18.256756880062078,-64.98115455326585,0,0,-1.9436162692278327,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:51,18.232548372553246,-64.98212820072706,0,0,1.8948577466450571,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:51,18.25839623562054,-64.9773091912938,0,0,-1.7040203435922763,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:51,18.244424304246337,-64.97847667185886,0,0,2.246778212917547,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:52,18.25674936619783,-64.9811577398927,0,0,-1.945889831228766,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:52,18.23255560208592,-64.98213207033923,0,0,1.91119460564727,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:52,18.25838847455715,-64.9773119733211,0,0,-1.6487383426583486,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:52,18.244424376920943,-64.9784766040106,0,0,2.246522042276642,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:53,18.25673801591991,-64.98116252019602,0,0,-1.9473035323228123,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:53,18.232566720383442,-64.98213724881592,0,0,1.9479113837030915,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:53,18.258376578919574,-64.97731503047878,0,0,-1.6486545402128339,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:53,18.244424368362406,-64.97847665373702,0,0,2.246635854187393,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:54,18.256730356168493,-64.98116586205983,0,0,-1.9491802729354455,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:54,18.23257431636356,-64.98214037713903,0,0,2.0221617261164835,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:54,18.258368512618464,-64.97731633045355,0,0,-1.692353677184801,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:54,18.244424292761003,-64.97847671788325,0,0,2.2468749239070593,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:55,18.25671907531514,-64.98117054428471,0,0,-1.9500635075374293,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:55,18.23258590835373,-64.98214471864983,0,0,2.0726680956274772,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
353327000,2025-08-11T16:33:55,18.258356340071593,-64.97731784308732,0,0,-1.740033678012844,GRAPETREE BAY,IMO8133968,HO8940,31,1,27,8,3.4,52,A,3
565516000,2025-08-11T16:33:55,18.244424305600425,-64.97847672589289,0,0,2.246813215242204,KAZAK,IMO9739549,9V2928,80,1,119,20,7.3,80,A,4
375605000,2025-08-11T16:33:56,18.25671150996876,-64.98117373928665,0,0,-1.950952824958145,DENI,IMO9844382,J8B6015,52,1,28,11,4.7,52,A,1
564702000,2025-08-11T16:33:56,18.232593627895607,-64.98214768108849,0,0,2.1334215996792536,EPIC CURACAO,IMO9698288,9V2515,80,1,95,15,5.5,80,A,2
